5.369630,6.022099
4.301836,1.910676
1.831361,2.393412
1.605672,5.040567
1.646543,4.623993
1.741405,4.799476
3.438456,1.219201
1.836985,4.616158
2.979648,1.541938
5.716591,5.495285
5.477186,4.571720
1.739006,4.265418
4.710346,6.041728
2.827088,1.561865
3.410270,2.470423
1.402328,4.499826
1.693269,5.325717
5.199118,4.292553
3.230002,2.320945
0.631603,5.461425
3.375837,2.365149
5.838641,5.491008
1.943709,5.367262
0.356371,5.219360
3.733958,1.578272
3.475168,0.962282
5.755649,5.210881
2.725952,2.274141
4.467954,6.084602
0.990268,5.349696
0.871876,5.907418
0.958215,5.599326
6.011874,5.565699
5.667300,5.550725
4.691949,6.346801
1.943649,4.277443
2.469756,2.874693
4.159149,5.598793
3.026908,1.543149
3.158825,1.411981
4.056163,5.637373
5.290750,5.174546
3.596885,1.825287
4.824858,6.550673
0.705692,4.962960
1.196999,5.501415
3.710735,2.714033
1.585959,2.644502
5.827698,6.485447
2.097872,2.192866
4.918221,6.573165
1.722322,5.156041
5.192385,6.357462
0.578641,4.384711
2.375505,2.332607
1.149475,5.693324
4.858196,5.233945
0.489959,4.945866
4.247272,6.369578
2.156233,2.017748
